File,ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
wals-chapter-50,50A-lad,lad,Ladakhi,50A,Asymmetrical Case-Marking,Symmetrical,"Koshal-1979[64-79, 110-140]",
wals-chapter-50,50A-lep,lep,Lepcha,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Mainwaring-1971[23, 28-30, 33-44]",
wals-chapter-50,50A-tli,tli,Tlingit,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Swanton-1911a[169-172, 193-194];Naish-1979[29-34, 67-73, 108-109, 120-125]",
wals-chapter-50,50A-wam,wam,Wambaya,50A,Asymmetrical Case-Marking,Qualitatively asymmetrical,"Nordlinger-1998[80-102, 107-115, 120-122, 125-130]",
wals-chapter-50,50A-alb,alb,Albanian,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Buchholz-and-Fiedler-1987[223-226, 268-281]",
wals-chapter-50,50A-bam,bam,Bambara,50A,Asymmetrical Case-Marking,No case-marking,Campbell-2000[190-193],
wals-chapter-50,50A-kyl,kyl,Kayah Li (Eastern),50A,Asymmetrical Case-Marking,No case-marking,Solnit-1997[passim],
wals-chapter-50,50A-nti,nti,Ngiti,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Kutsch-Lojenga-1994[190-216, 303-308, 322-325]",
wals-chapter-50,50A-car,car,Carib,50A,Asymmetrical Case-Marking,No case-marking,Hoff-1968[248-259],
wals-chapter-50,50A-mak,mak,Makah,50A,Asymmetrical Case-Marking,No case-marking,Jacobsen-1999[passim],
wals-chapter-50,50A-tsi,tsi,Tsimshian (Coast),50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Boas-1911c[354-363, 383-392];Dunn-1979[59-67]",
wals-chapter-50,50A-tun,tun,Tunica,50A,Asymmetrical Case-Marking,Symmetrical,"Haas-1940[62-67, 126-128]",
wals-chapter-50,50A-sue,sue,Suena,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,Wilson-1974[15-29],
wals-chapter-50,50A-mku,mku,Maranungku,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Tryon-1970b[14-17, 48-49, 52-53, 62-73]",
wals-chapter-50,50A-mrl,mrl,Murle,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Arensen-1982[48-58, 89-98, 102-104]",
wals-chapter-50,50A-psm,psm,Passamaquoddy-Maliseet,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Leavitt-1996[6-7, 25, 27-31];Sherwood-1986[85-89, 103-104, 108-116]",
wals-chapter-50,50A-pit,pit,Pitjantjatjara,50A,Asymmetrical Case-Marking,Qualitatively asymmetrical,"Bowe-1990[9-23, 38-43]",
wals-chapter-50,50A-amh,amh,Amharic,50A,Asymmetrical Case-Marking,Symmetrical,"Leslau-1995[48, 181-190]",
wals-chapter-50,50A-ana,ana,Araona,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Pitman-1980[14, 75, 80-84, 98-100]",
